"","Process","Function","Gene"
"232","DNA replication (putative)","interacts with DNA ligase","YGL090W"
"233","cytoskeleton","spindle pole body component","YGL093W"
"234","unknown","unknown","YGL101W"
"235","mitosis","activator of the anaphase promoting complex","YGL116W"
"236","methionine metabolism","methylenetetrahydrofolate reductase, putative","YGL125W"
"237","transport","hypoxic gene family (sterol uptake)","YGL162W"
"238","DNA repair","DNA-dependent ATPase","YGL163C"
"239","unknown","similar to cystathionine beta-lyase","YGL184C"
"240","unknown","similar to D-2-hydroxyacid dehydrogenase","YGL185C"
"241","protein synthesis","translational activator of GCN4","YGL195W"
"242","secretion","vesicle coat component","YGL200C"
"243","DNA replication","MCM initiator complex","YGL201C"
"244","chromatin structure","non-histone protein","YGL207W"
"245","glucose repression","transcriptional repressor","YGL209W"
"246","vacuole biogenesis","unknown; regulator","YGL212W"
"247","mitosis","kinesin related protein","YGL216W"
"248","protein glycosylation","","YGL225W"
"249","transport","high-affinity zinc transporter","YGL255W"
"250","bud emergence","unknown","YGR014W"
"251","unknown","unknown","YGR035C"
"252","bud site selection, bipolar","unknown","YGR041W"
"253","unknown","unknown","YGR042W"
"254","meiosis","transcription factor","YGR044C"
"255","transport","methionine permease","YGR055W"
"256","unknown","allantoate permease family","YGR065C"
"257","unknown","unknown","YGR086C"
"258","cell cycle","late mitosis; protein kinase","YGR092W"
"259","telomere length regulation","telomere binding protein","YGR099W"
"260","cell cycle","G2/M cyclin","YGR108W"
"261","cell cycle","B-type cyclin; S phase","YGR109C"
"262","unknown","unknown; interacts with Duo1p and Mps1p","YGR113W"
"263","asparagine biosynthesis","asparagine synthetase","YGR124W"
"264","unknown","major facilitator superfamily","YGR138C"
"265","mitosis","kinetochore protein complex CBF3, 110 KD subunit","YGR140W"
"266","cell wall biogenesis","(1->6)-beta-glucan synthase subunit","YGR143W"
"267","unknown","unknown","YGR146C"
"268","unknown","unknown","YGR151C"
"269","bud site selection","GTP-binding protein, ras superfamily","YGR152C"
"270","unknown","unknown","YGR153W"
"271","unknown","unknown","YGR176W"
"272","acetate ester biosynthesis","alcohol acetyltransferase","YGR177C"
"273","cell cycle, checkpoint","protein kinase","YGR188C"
"274","unknown","unknown","YGR189C"
"275","unknown","unknown","YGR219W"
"276","unknown","unknown","YGR221C"
"277","unknown","similar to Spo12p","YGR230W"
"278","oxidative stress response (putative)","flavohemoglobin","YGR234W"
"279","unknown","similar to Kel1p and Kel3p","YGR238C"
"280","glycolysis","phosphofructokinase","YGR240C"
"281","unknown","unknown","YGR259C"
"282","unknown","similar to Dal5p","YGR260W"
"283","DNA replication (putative)","ribonuclease H","YGR276C"
"284","unknown","unknown","YGR279C"
"285","unknown","similar to mouse Surf-4 protein PIR:A34727","YGR284C"
"286","unknown","similar to other subtelomerically-encoded proteins","YGR296W"
"287","unknown","unknown","YHL026C"
"288","cell wall integrity and stress response","unknown","YHL028W"
"289","unknown","similar to subtelomerically-encoded proteins","YHL040C"
"290","unknown","similar to other subtelomerically-encoded proteins","YHL049C"
"291","unknown","similar to other subtelomerically-encoded proteins","YHL050C"
"292","signaling, pheromone pathway","alpha subunit of G protein coupled to mating factor","YHR005C"
"293","tRNA splicing","unknown","YHR006W"
"294","unknown","similar to N-terminal region of ras-related","YHR022C"
"295","cell wall biosynthesis","myosin heavy chain","YHR023W"
"296","unknown","similar to thymidylate synthase in the N-terminal","YHR029C"
"297","signaling, PKC1 pathway","MAP kinase (mitogen-activated protein kinase)","YHR030C"
"298","bud emergence","binds Cdc42p","YHR061C"
"299","unknown","unknown","YHR067W"
"300","RNA splicing, mitochondrial","RNA binding protein","YHR086W"
"301","transport","hexose permease","YHR092C"
"302","transport","hexose permease","YHR094C"
"303","unknown","unknown; binds Sed3p and Sec23p","YHR098C"
"304","pyrimidine biosynthesis","thioredoxin reductase","YHR106W"
"305","unknown","unknown","YHR108W"
"306","membrane trafficking; secretion (putative)","unknown","YHR110W"
"307","unknown","similar to vacuolar aminopeptidase Lap4p/Ape1p","YHR113W"
"308","phospholipid metabolism","sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase","YHR123W"
"309","unknown","similar to members of the Pir1p/Hsp150p/Pir3p","YHR126C"
"310","unknown","suppresses SEC4 dominant negative mutant","YHR127W"
"311","unknown","protein kinase","YHR135C"
"312","aromatic amino acod metabolism","aromatic amino acid aminotransferase II","YHR137W"
"313","unknown","unknown","YHR143W"
"314","unknown","similar to pheromone adaptation protein Mdg1p","YHR146W"
"315","unknown","unknown","YHR149C"
"316","unknown","unknown","YHR151C"
"317","meiosis","unknown","YHR152W"
"318","meiosis, spore formation","unknown","YHR153C"
"319","silencing","unknown","YHR154W"
"320","unknown","unknown","YHR159W"
"321","cytoskeleton","spindle pole body component","YHR172W"
"322","unknown","unknown","YHR173C"
"323","transcription","unknown; binds Sin3p","YHR178W"
"324","signaling","protein kinase","YHR205W"
"325","branched chain amino acid degradation","transaminase","YHR208W"
"326","phosphate metabolism","secreted acid phosphatase","YHR215W"
"327","unknown","similar to other subtelomerically-encoded proteins","YHR218W"
"328","unknown","similar to other subtelomerically-encoded proteins","YHR219W"
"329","fatty acid metabolism","acyl CoA synthase","YIL009W"
"330","unknown","similar to Yil176p, Yir041p and other members of","YIL011W"
"331","unknown","unknown","YIL025C"
"332","unknown","colony morphology","YIL026C"
"333","cell cycle","cyclin","YIL050W"
"334","unknown","unknown","YIL056W"
"335","DNA repair","repair-induced ribonucleotide reductase","YIL066C"
"336","meiosis, synapsis","DNA binding protein","YIL072W"
"337","unknown","putative alpha-ketoisocaproate reductase","YIL074C"
"338","secretion","vesicle coat component","YIL076W"
"339","lysine biosynthesis","homo-isocitrate dehydrogenase","YIL094C"
"340","unknown","unknown","YIL104C"
"341","mitosis","unknown; binds Mps1p and Dbf2p","YIL106W"
"342","mitochondrial transport","porin, anion channel","YIL114C"
"343","unknown","unknown","YIL117C"
"344","signaling, Ras pathway","negative regulator of ras-cAMP pathway","YIL119C"
"345","unknown","major facilitator superfamily","YIL121W"
"346","unknown","unknown","YIL122W"
"347","cell cycle","unknown","YIL123W"
"348","unknown","unknown","YIL129C"
"349","unknown","similar to Drosophila fork head protein","YIL131C"
"350","unknown","unknown","YIL132C"
"351","unknown","unknown","YIL135C"
"352","cytoskeleton","tropomyosin","YIL138C"
"353","bud site selection, axial","plasma membrane protein","YIL140W"
"354","unknown","unknown","YIL141W"
"355","unknown","unknown","YIL144W"
"356","unknown","similar to Ykr100p","YIL158W"
"357","sucrose utilization","invertase","YIL162W"
"358","gluconeogenesis","serine dehydratase","YIL167W"
"359","gluconeogenesis","serine dehydratase","YIL168W"
"360","unknown","similar to subtelomerically-encoded proteins","YIL177C"
"361","unknown","unknown","YIR010W"
"362","sulfur amino acid metbolism","transcriptional activator ","YIR017C"
"363","unknown","similar to proteins of the short-chain alcohol","YIR036C"
"364","unknown","unknown","YJL015C"
"365","unknown","unknown","YJL018W"
"366","unknown","unknown","YJL019W"
"367","secretion","GTPase-activating protein for Ypt6","YJL044C"
"368","unknown","unknown","YJL051W"
"369","unknown","similar to kynurenine aminotransferase","YJL060W"
"370","unknown","unknown","YJL067W"
"371","unknown","unknown","YJL072C"
"372","mating; nuclear fusion","DnaJ-like protein","YJL073W"
"373","chromatin structure","cohesin","YJL074C"
"374","unknown","similar to plant PR-pathogen related proteins","YJL078C"
"375","unknown","similar to plant PR-pathogen related proteins","YJL079C"
"376","unknown","similar to Can1p","YJL091C"
"377","meiosis","DNA helicase","YJL092W"
"378","cell wall biogenesis","chitin biosynthesis","YJL099W"
"379","transcription","anti-silencing protein","YJL115W"
"380","unknown","unknown","YJL118W"
"381","unknown","unknown","YJL119C"
"382","sphingolipid metabolism","sphingoid base-phosphate phosphatase","YJL134W"
"383","glycogen metabolism","glycogen synthesis initiator","YJL137C"
"384","cell cycle","Cdc28p kinase inhibitor","YJL157C"
"385","unknown","unknown","YJL158C"
"386","heat shock response","secreted glycoprotein of HSP family","YJL159W"
"387","DNA replication","replication factor A, 13 kD subunit","YJL173C"
"388","unknown","unknown","YJL181W"
"389","cell cycle","negative regulator of Cdc28p","YJL187C"
"390","DNA replication","pre-initiation complex formation","YJL194W"
"391","unknown","unknown","YJL195C"
"392","fatty acid metabolism","fatty acid elongation protein","YJL196C"
"393","cell wall biogenesis","unknown","YJL201W"
"394","unknown","unknown","YJL217W"
"395","unknown","similar to other subtelomerically-encoded proteins","YJL225C"
"396","unknown","major facilitator superfamily","YJR001W"
"397","unknown","similar to human collagen alpha 3 (VI) chain","YJR003C"
"398","mating","alpha-agglutinin","YJR004C"
"399","DNA replication","polymerase delta 55 KD subunit","YJR006W"
"400","methionine biosynthesis","sulfate adenylyltransferase","YJR010W"
"401","unknown","unknown","YJR030C"
"402","DNA replication","polymerase delta 55 kD subunit","YJR043C"
"403","oxidative phosphorylation","cytochrome-c isoform 1","YJR048W"
"404","unknown","unknown","YJR054W"
"405","bud site selection, axial","unknown","YJR092W"
"406","unknown","unknown","YJR110W"
"407","cell wall biogenesis","unknown","YJR137C"
"408","branched chain amino acid biosynthesis","transaminase","YJR148W"
"409","unknown","unknown","YJR154W"
"410","unknown","hypothetical aryl-alcohol dehydrogenase","YJR155W"
"411","sulfate assimilation","adenylylsulfate kinase","YKL001C"
"412","sphingolipid metabolism","phosphatidylinositol:ceramide phosphoinositol transferase","YKL004W"
"413","unknown","similar to Lag1p, has 6 potential transmembrane","YKL008C"
"414","pyrimidine metabolism","UGP1, UDP-glucose pyrophosphorylase","YKL035W"
"415","cytoskeleton","spindle pole body component","YKL042W"
"416","pseudohyphal growth","transcription factor","YKL043W"
"417","unknown","unknown","YKL044W"
"418","DNA replication","polymerase alpha 58 kD subunit (DNA primase)","YKL045W"
"419","pseudohyphal growth","protein kinase","YKL048C"
"420","unknown","unknown","YKL052C"
"421","unknown","ER 25 kDa transmembrane protein","YKL065C"
"422","unknown","unknown","YKL066W"
"423","nucleotide metabolism","nucleoside diphosphate kinase","YKL067W"
"424","unknown","unknown","YKL069W"
"425","mitosis","centromere protein","YKL089W"
"426","cell wall protein","beta-1,6-glucan acceptor","YKL096W"
"427","unknown","cell wall protein","YKL096W-A"
"428","cell cycle","negative regulator of swe1 kinase","YKL101W"
"429","protein degradation","vacuolar aminopeptidase ysc1","YKL103C"
"430","cell wall biogenesis","chitin biosynthesis","YKL104C"
"431","DNA replication","unknown; interacts with Dpb11p","YKL108W"
"432","DNA repair","ssDNA endonuclease","YKL113C"
"433","unknown","putative protein kinase","YKL116C"
"434","glycolysis","phosphoglucomutase","YKL127W"
"435","cell polarity","asymmetric HO expression","YKL130C"
"436","unknown","unknown","YKL151C"
"437","unknown","similar to members of the Pir1p/Hsp150p/Pir3p","YKL163W"
"438","unknown","Pir1p/Hsp150p/Pir3p family","YKL164C"
"439","sporulation","morphogenesis checkpoint","YKL165C"
"440","unknown","unknown; EBNA1-binding protein homolog","YKL172W"
"441","unknown","unknown","YKL177W"
"442","mating","a-factor receptor","YKL178C"
"443","fatty acid metabolism","fatty-acyl-CoA synthase, beta subunit","YKL182W"
"444","unknown","unknown","YKL183W"
"445","mating type switching","transcription factor","YKL185W"
"446","mating","a-factor exporter (ABC superfamily)","YKL209C"
"447","DNA replication (putative)","interacts with DNA","YKR010C"
"448","unknown","unknown","YKR012C"
"449","unknown","similar to plant PR-pathogen related proteins","YKR013W"
"450","unknown","unknown","YKR021W"
"451","cytoskeleton","spindle pole body component","YKR037C"
"452","transport","general amino acid permease","YKR039W"
"453","unknown","unknown","YKR041W"
"454","aging","unknown","YKR042W"
"455","unknown","unknown","YKR046C"
"456","methionine biosynthesis","siroheme synthase","YKR069W"
"457","unknown","unknown","YKR077W"
"458","unknown","unknown","YKR079C"
"459","unknown","unknown","YKR090W"
"460","unknown","unknown; suppressor of Rad53 lethality","YKR091W"
"461","unknown","ATP-binding cassette (ABC) superfamily","YKR103W"
"462","diepoxybutane and mitomycin C resistance","unknown","YLL002W"
"463","unknown","similar to human triacylglycerol lipase","YLL012W"
"464","chromatin structure","interacts with histone acetyltransferase","YLL022C"
"465","unknown","major facilitator superfamily","YLL028W"
"466","unknown","unknown","YLL032C"
"467","unknown","similar to Gap1p and other amino acid permeases","YLL061W"
"468","unknown","unknown","YLL062C"
"469","unknown","similar to other subtelomerically-encoded proteins","YLL066C"
"470","unknown","similar to other subtelomerically-encoded proteins","YLL067C"
"471","unknown","unknown","YLR013W"
"472","DNA repair","DNA helicase","YLR032W"
"473","unknown","unknown","YLR034C"
"474","unknown","unknown","YLR040C"
"475","unknown","unknown","YLR041W"
"476","cytoskeleton","spindle pole body component","YLR045C"
"477","unknown","unknown","YLR049C"
"478","unknown","similar to C-terminal region of human MAC30","YLR050C"
"479","sterol metabolism","C-5 sterol desaturase","YLR056W"
"480","unknown","unknown","YLR057W"
"481","one-carbon interconversion","serine hydroxymethyltransferase","YLR058C"
"482","cell cycle","Cdc28p-Clb5 protein kinase inhibitor","YLR079W"
"483","unknown","unknown","YLR084C"
"484","unknown","unknown","YLR095C"
"485","ser/thr metabolism","CHA1 activator","YLR098C"
"486","unknown","unknown","YLR099C"
"487","unknown","unknown","YLR100W"
"488","DNA replication","pre-replicative complex subunit (putative)","YLR103C"
"489","protein processing","GPI-anchored aspartic protease","YLR121C"
"490","transcription","CUP1 regulator","YLR131C"
"491","unknown","unknown","YLR135W"
"492","glutamate biosynthesis","proline oxidase","YLR142W"
"493","unknown","unknown","YLR151C"
"494","unknown","unknown","YLR154C"
"495","unknown","unknown","YLR169W"
"496","methionine metabolism","S-adenosylmethionine synthetase","YLR180W"
"497","unknown","unknown","YLR183C"
"498","unknown","unknown","YLR190W"
"499","unknown","unknown","YLR194C"
"500","unknown","similar to human purine nucleoside phosphorylase","YLR209C"
"501","cell cycle","G2/M cyclin","YLR210W"
"502","cytoskeleton","gamma-tubulin","YLR212C"
"503","iron homeostasis","ferric (and cupric) reductase","YLR214W"
"504","unknown","unknown","YLR225C"
"505","unknown","similar to rat kynureninase (PIR:PS0370)","YLR231C"
"506","telomere length regulation","putative end-binding protein","YLR233C"
"507","DNA replication","DNA topoisomerase III","YLR234W"
"508","unknown","unknown","YLR235C"
"509","unknown","unknown","YLR236C"
"510","unknown","unknown","YLR254C"
"511","glucose repression","(putative) Glc7p regulatory subunit","YLR273C"
"512","DNA replication","MCM initiator complex","YLR274W"
"513","cell wall biogenesis","endochitinase","YLR286C"
"514","DNA repair; DNA damage checkpoint","activates exonuclease","YLR288C"
"515","unknown","unknown","YLR297W"
"516","cell wall biogenesis","exo-beta-1,3-glucanase","YLR300W"
"517","unknown","unknown","YLR302C"
"518","methionine biosynthesis","O-acetylhomoserine sulfhydrylase","YLR303W"
"519","bud site selection, bipolar","interacts with MAPKKs","YLR313C"
"520","unknown","unknown","YLR326W"
"521","cell wall biogenesis","1,3-beta-D-glucan synthase subunit","YLR342W"
"522","unknown","similar to Gas1p","YLR343W"
"523","nuclear protein targeting","beta-karyopherin","YLR347C"
"524","bud site selection, bipolar","unknown","YLR353W"
"525","fatty acid metabolism","conversion of 24-carbon to 26-carbon fatty acids","YLR372W"
"526","unknown","similar to Von Willebrand factor","YLR373C"
"527","unknown","unknown","YLR380W"
"528","DNA repair, recombination","unknown","YLR383W"
"529","unknown","unknown","YLR413W"
"530","unknown","unknown","YLR437C"
"531","arginine metabolism","ornithine aminotransferase","YLR438W"
"532","mating","negative regulator of Gpa1","YLR452C"
"533","unknown","unknown","YLR455W"
"534","unknown","Nap1p-binding protein","YLR457C"
"535","unknown","unknown","YLR458W"
"536","unknown","unknown","YLR462W"
"537","unknown","similar to other subtelomerically-coded proteins","YLR463C"
"538","unknown","similar to other subtelomerically-coded proteins","YLR464W"
"539","unknown","unknown","YLR465C"
"540","unknown","similar to other subtelomerically-coded proteins","YLR466W"
"541","unknown","similar to other subtelomerically-encoded proteins","YLR467W"
"542","secretion","vesicle coat component","YML012W"
"543","unknown","unknown","YML020W"
"544","DNA repair","uracil DNA glycosylase","YML021C"
"545","unknown","binds leu-tRNA gene","YML027W"
"546","unknown","unknown","YML033W"
"547","unknown","unknown","YML034W"
"548","unknown","unknown","YML035C-A"
