Cluster,Distance,Y_name,SGDID,GENE,Chromsome,Start,End,Introns,Exons,Description,
1,0.48,YDL075W,S0002233,RPL31A,IV,322225,322987,1,"1-57, 479-763",Ribosomal protein L31A (L34A) (YL28),
1,0.41,YDL082w,S0002240,RPL13A,IV,308423,309387,1,"1-4, 370-965",Ribosomal protein L13A,
1,0.4,YDL083C,S0002241,RPS16B,IV,307788,306925,1,"1-24, 457-864",Ribosomal protein S16B (rp61R),
1,0.77,YDL099w,S0002257,,IV,283418,284443,0,1-1026,,
1,0.51,YDL136w,S0002295,RPL35B,IV,217600,218367,1,"1-3, 409-768",Ribosomal protein L35B,
1,0.67,YDL140C,S0002299,rpo21,IV,210562,205361,0,2-Jan,RNA polymerase II large subunit,
1,0.45,YDL182w,S0002341,LYS20,IV,133438,134724,0,1-1287,"homocitrate synthase, highly homologous to YDL131W",
1,0.38,YDL191W,S0002350,RPL35A,IV,117665,118518,1,"1-3, 495-854",Ribosomal protein L35A,
1,0.35,YDL192W,S0002351,arf1,IV,116322,116867,0,1-546,ADP-ribosylation factor,
1,0.38,YDL208W,S0002367,NHP2,IV,87462,87983,0,1-522,HMG-like nuclear protein,
1,0.4,YDL228c,S0002387,,IV,45919,45278,0,1-642,,
1,0.45,YDL229W,S0002388,ssb1,IV,44066,45907,0,1-1842,"Heat shock protein of HSP70 family, cytoplasmic",
1,0.54,YDL232W,S0002391,OST4,IV,38488,38598,0,1-111,"3.6-kDa protein, probably membrane-located",
1,0.28,YDR012W,S0002419,RPL4B,IV,471894,472982,0,1-1089,Ribosomal protein L4B (L2B) (rp2) (YL2),
1,0.6,YDR016c,S0002423,,IV,478798,478514,0,1-285,,
1,0.35,YDR025W,S0002432,RPS11A,IV,491555,492364,1,"1-45, 385-810",Ribosomal protein S11A (S18A) (rp41A) (YS12),
1,0.44,YDR050C,S0002457,TPI1,IV,556512,555766,0,1-747,triosephosphate isomerase,
1,0.51,YDR064W,S0002471,RPS13,IV,579498,580492,1,"1-21, 561-995",Ribosomal protein S13 (S27a) (YS15),
1,0.41,YDR133C,S0002540,,IV,721335,721000,0,1-336,,
1,0.4,YDR134C,S0002541,,IV,721519,721109,0,1-411,,
1,0.5,YDR154C,S0002561,,IV,768791,768441,0,1-351,,
1,0.64,YDR155c,S0002562,CPH1,IV,769038,768550,0,1-489,cyclophilin peptidyl-prolyl cis-trans isomerase,
1,0.53,YDR158w,S0002565,hom2,IV,770395,771492,0,1-1098,aspartic beta semi-aldehyde dehydrogenase,
1,0.62,YDR165W,S0002572,,IV,784909,786243,0,1-1335,,
1,0.49,YDR210W,S0002618,,IV,871111,871338,0,1-228,,
1,0.43,YDR224c,S0002632,HTB1,IV,914748,914353,0,1-396,Histone H2B (HTB1 and HTB2 code for nearly identical proteins),
1,0.5,YDR225w,S0002633,HTA1,IV,915566,915964,0,1-399,Histone H2A (HTA1 and HTA2 code for nearly identical proteins),
1,0.57,YDR276C,S0002684,,IV,1013679,1013512,0,1-168,,
1,0.4,YDR327W,S0002735,,IV,1125338,1125664,0,1-327,,
1,0.82,YDR329c,S0002737,PEX3,IV,1127631,1126306,0,1-1326,48-kDa peroxisomal integral membrane protein,
1,0.43,YDR353W,S0002761,TRR1,IV,1183333,1184292,0,1-960,Thioredoxin reductase,
1,0.52,YDR378C,S0002786,,IV,1229754,1229383,0,1-372,,
1,0.56,YDR381W,S0002789,YRA1,IV,1237718,1238038,0,1-321,Nuclear RNA-binding RNA annealing protein,
1,0.47,YDR382w,S0002790,RPP2B,IV,1239526,1239858,0,1-333,Ribosomal protein P2B (YP2beta) (L45),
1,0.53,YDR385w,S0002793,EFT2,IV,1243264,1245792,0,29-Jan,translation elongation factor 2 (EF-2),
1,0.38,YDR417C,S0002825,,IV,1301960,1301589,0,1-372,,
1,0.4,YDR418w,S0002826,RPL12B,IV,1301650,1302147,0,1-498,Ribosomal protein L12B (L15B) (YL23),
1,0.48,YDR433W,S0002841,,IV,1329634,1330074,0,1-441,,
1,0.48,YDR447c,S0002855,RPS17B,IV,1355587,1354863,1,"1-3, 318-725",Ribosomal protein S17B (rp51B),
1,0.4,YDR450W,S0002858,RPS18A,IV,1359957,1360832,1,"1-47, 483-876",Ribosomal protein S18A,
1,0.46,YDR471w,S0002879,RPL27B,IV,1401804,1402598,1,"1-31, 416-795",Ribosomal protein L27B,
1,0.6,YDR500c,S0002908,RPL37B,IV,1450901,1450246,1,"1-7, 397-656",60S ribosomal protein L37B (L43) (YL35),
1,0.77,YDR517W,S0002925,,IV,1477287,1478405,0,1-1119,,
1,0.51,YDR525W,S0002933,,IV,1489953,1490282,0,1-330,,
1,0.54,YDR529c,S0002937,QCR7,IV,1496596,1496213,0,1-384,ubiquinol-cytochrome c oxidoreductase subunit 7 (14 kDa),
1,0.65,YEL026w,S0000752,,V,101943,102323,0,1-381,,
1,0.61,YEL034w,S0000760,HYP2,V,85676,86149,0,1-474,Translation initiation factor eIF-5A,
1,0.45,YER009w,S0000811,NTF2,V,172114,172491,0,1-378,,
1,0.75,YER069w,S0000871,"arg5,6",V,295408,297999,0,Jan-92,N-acetyl-gamma-glutamyl-phosphate reductase and acetylglutamate kinase,
1,0.44,YER074w,S0000876,RPS24A,V,306319,307192,1,"1-3, 470-874",40S ribosomal protein S24A,
1,0.67,YER117w,S0000919,RPL23B,V,396765,397649,1,"1-42, 514-885",Ribosomal protein L23B (L17aB) (YL32),
1,0.89,YFL,,TyB,,,,,,,
1,0.56,YFL039C,S0001855,act1,VI,54696,53261,1,"1-10, 319-1436",Actin,
1,0.59,YGL102C,S0003070,,VII,311931,311503,0,1-429,,
1,0.62,YGL117W,S0003085,,VII,288513,289310,0,1-798,,
1,0.69,YGR029W,S0003261,ERV1,VII,543846,544199,0,1-354,,
1,0.56,YHR049C-A,S0003532,,VIII,207522,207211,0,1-312,,
1,0.54,YJL136C,S0003672,RPS21B,X,156971,156248,1,"1-24, 485-724",Ribosomal protein S21B (S26B) (YS25),
1,0.82,YJL140W,S0003676,RPB4,X,150659,151324,0,1-666,fourth-largest subunit of RNA polymerase II,
1,0.64,YJL152W,S0003688,,X,135872,136231,0,1-360,,
1,0.71,YJL158C,S0003694,CIS3,X,122645,121962,0,1-684,"Protein with homology to Hsp150p and Pir1p, Pir2p, and Pir3p",
1,0.72,YJL177W,S0003713,RPL17b,X,90783,91654,1,"1-309, 627-872",Ribosomal protein L17B (L20B) (YL17),
1,0.49,YJL188C,S0003724,,X,76509,76201,0,1-309,,
1,0.49,YJL190C,S0003726,RPS22A,X,75301,74909,0,1-393,Ribosomal protein S22A (S24A) (rp50) (YS22),
1,0.76,YJL213W,S0003749,,X,32163,33158,0,1-996,,
1,0.57,YJR009C,S0003769,TDH2,X,454368,453370,0,1-999,glyceraldehyde 3-phosphate dehydrogenase,
1,0.69,YJR025C,S0003786,BNA1,X,471359,470826,0,1-534,3-hydroxyanthranilic acid dioxygenase,
1,0.55,YJR094W-A,S0003855,RPL43B,X,607996,608549,1,"1-2, 278-554",Ribosomal protein L43B,
1,0.69,YJR105W,S0003866,,X,623268,624290,0,1-1023,,
1,0.47,YJR123W,S0003884,RPS5,X,651590,652267,0,1-678,Ribosomal protein S5 (S2) (rp14) (YS8),
1,0.43,YKL006W,S0001489,RPL14A,XI,431547,432361,1,"1-129, 528-815",Ribosomal protein L14A,
1,0.75,YKL030W,S0001513,,XI,382139,382744,0,1-606,,
1,0.48,YKL056C,S0001539,,XI,334560,334057,0,1-504,,
1,0.57,YKL060C,S0001543,FBA1,XI,327132,326053,0,1-1080,aldolase,
1,0.72,YKL076C,S0001559,,XI,292866,292483,0,1-384,,
1,0.59,YKL097W-A,S0001956,CWP2,XI,258898,259176,0,1-279,cell wall mannoprotein,
1,0.37,YKL152C,S0001635,gpm1,XI,164390,163647,0,1-744,Phosphoglycerate mutase,
1,0.39,YKL153W,S0001636,,XI,163605,164114,0,1-510,,
1,0.57,YKL156W,S0001639,RPS27A,XI,158619,159217,1,"1-3, 354-599",40S ribosomal protein S27A (rp61) (YS20),
1,0.42,YKL180W,S0001663,RPL17A,XI,109274,110134,1,"1-309, 616-861",Ribosomal protein L17A (L20A) (YL17),
1,0.41,YKR057W,S0001765,RPS21A,XI,551296,551881,1,"1-24, 347-586",Ribosomal protein S21A (S26A) (YS25),
1,0.56,YKR094c,S0001802,RPL40B,XI,618387,617633,1,"1-8, 377-755",Ribosomal protein L40B,
1,0.64,YLL045c,S0003968,RPL8B,XII,48628,47858,0,1-771,Ribosomal protein L8B (L4B) (rp6) (YL5),
1,0.61,YLL067c,S0003990,,XII,4301,585,1,"1-287, 387-3717",,
1,0.42,YLR029c,S0004019,RPL15A,XII,202591,201977,0,1-615,Ribosomal protein L15A (YL10) (rp15R) (L13A),
1,0.46,YLR062c,S0004052,,XII,263955,263578,0,1-378,,
1,0.51,YLR075w,S0004065,RPL10,XII,282928,283593,0,1-666,Ribosomal protein L10\; Ubiquinol-cytochrome C reductase complex subunit VI requiring protein,
1,0.5,YLR076c,S0004066,,XII,283608,283186,0,1-423,,
1,0.56,YLR110c,S0004100,,XII,370099,369698,0,1-402,,
1,0.61,YLR150w,S0004140,MPT4,XII,440468,441289,0,1-822,,
1,0.42,YLR167W,S0004157,RPS31,XII,498949,499407,0,1-459,Ribosomal protein S31 (S37) (YS24),
1,0.53,YLR175W,S0004165,CBF5,XII,506136,507587,0,1-1452,major low affinity 55 kDa Centromere\/microtubule binding protein,
1,0.45,YLR185W,S0004175,RPL37A,XII,522665,523290,1,"1-7, 367-626",60S ribosomal protein L37A (L43) (YL35),
1,0.66,YLR229C,S0004219,cdc42,XII,604787,604212,0,1-576,member of the Rho subfamily of Ras-like proteins,
1,0.8,YLR294C,S0004285,,XII,722030,721701,0,1-330,,
1,0.65,YLR300W,S0004291,exg1,XII,728955,730301,0,1-1347,"Exo-1,3-beta-glucanase",
1,0.44,YLR325C,S0004317,RPL38,XII,781378,781142,0,1-237,Ribosomal protein L38,
1,0.56,YLR333C,S0004325,RPS25B,XII,795898,795572,0,1-327,Ribosomal protein S25B (S31B) (rp45) (YS23),
1,0.49,YLR340W,S0004332,RPP0,XII,805886,806824,0,1-939,60S ribosomal protein P0 (A0) (L10E),
1,0.52,YLR344W,S0004336,RPL26A,XII,819311,820141,1,"1-19, 467-831",Ribosomal protein L26A (L33A) (YL33),
1,0.59,YLR355C,S0004347,ilv5,XII,839251,838064,0,1-1188,acetohydroxyacid reductoisomerase,
1,0.47,YLR367W,S0004359,RPS22B,XII,856440,857315,1,"1-133, 617-876",Ribosomal protein S22B (S24B) (rp50) (YS22),
1,0.48,YLR388W,S0004380,RPS29A,XII,898650,898820,0,1-171,Ribosomal protein S29A (S36A) (YS29),
1,0.77,YLR406C,S0004398,RPL31B,XII,931751,931061,1,"1-57, 407-691",Ribosomal protein L31B (L34B) (YL28),
1,0.51,YLR441C,S0004433,RPS1A,XII,1018902,1018135,0,1-768,Ribosomal protein S1A (rp10A),
1,0.45,YLR448W,S0004440,RPL6B,XII,1028847,1029761,1,"1-15, 400-915",60S ribosomal subunit protein L6B (L17B) (rp18) (YL16),
1,0.75,YLR467w,S0004459,,XII,1072503,1077893,0,Jan-91,,
1,0.74,YML012W,S0004473,ERV25,XIII,246116,246751,0,1-636,Component of the COPII coat of certain ER-derived vesicles,
1,0.66,YML024W,S0004486,RPS17A,XIII,225889,226697,1,"1-3, 402-809",Ribosomal protein S17A (rp51A),
1,0.47,YML026C,S0004488,rps18B,XIII,223828,222987,1,"1-47, 449-842",Ribosomal protein S18B,
1,0.41,YML073C,S0004538,RPL6A,XIII,124172,123227,1,"1-15, 431-946",Ribosomal protein L6A (L17A) (rp18) (YL16),
1,0.68,YML074C,S0004539,NPI46,XIII,121324,120089,0,1-1236,"Prolyl cis-trans isomerase, also called proline rotamase or peptidylprolyl cis-trans isomerase (PPIase)",
1,0.43,YMR202W,S0004815,ERG2,XIII,667536,668204,0,1-669,C-8 sterol isomerase,
1,0.63,YMR217W,S0004830,GUA1,XIII,701789,703366,0,1-1578,GMP synthase,
1,0.72,YMR226C,S0004839,,XIII,722395,721592,0,1-804,,
1,0.74,YMR242C,S0004855,RPL20A,XIII,753766,753224,0,1-543,Ribosomal protein L20A (L18A),
1,0.44,YNL030W,S0004975,HHF2,XIV,576725,577036,0,1-312,Histone H4 (HHF1 and HHF2 code for identical proteins),
1,0.57,YNL031C,S0004976,HHT2,XIV,576048,575638,0,1-411,Histone H3 (HHT1 and HHT2 code for identical proteins),
1,0.58,YNL096C,S0005040,RPS7B,XIV,444314,443397,1,"1-144, 490-918",Ribosomal protein S7B (rp30),
1,0.78,YNL152W,S0005096,,XIV,346312,347541,0,1-1230,,
1,0.53,YNL162W,S0005106,RPL42A,XIV,331321,332153,1,"1-4, 487-833",Ribosomal protein L42A (YL27) (L41A),
1,0.69,YNL175C,S0005119,,XIV,308611,307400,0,1-1212,,
1,0.51,YNL255C,S0005199,,XIV,167789,167328,0,1-462,,
1,0.44,YNL302C,S0005246,RPS19B,XIV,62942,61957,1,"1-20, 572-986",Ribosomal protein S19B (rp55B) (S16aB) (YS16B),
1,0.86,YNR032W,S0005315,PPG1,XIV,686009,687115,0,1-1107,,
1,0.57,YOL058W,S0005419,arg1,XV,219209,220471,0,1-1263,arginosuccinate synthetase,
1,0.37,YOL127W,S0005487,RPL25,XV,80347,81189,1,"1-13, 428-843",Ribosomal protein L25 (rpl6L) (YL25),
1,0.53,YOL139C,S0005499,CDC33,XV,61023,60382,0,1-642,mRNA cap binding protein eIF-4E,
1,0.58,YOR167C,S0005693,RPS28A,XV,649005,648802,0,1-204,Ribosomal protein S28A (S33A) (YS27),
1,0.48,YOR234C,S0005760,RPL33B,XV,779403,778553,1,"1-19, 547-851",Ribosomal protein L33B (L37B) (rp47) (YL37),
1,0.73,YOR248W,S0005774,,XV,798011,798313,0,1-303,,
1,0.75,YOR293W,S0005819,RPS10A,XV,867093,867847,1,"1-52, 490-755",Ribosomal protein S10A,
1,0.47,YOR312C,S0005839,RPL20B,XV,901172,900241,1,"1-7, 415-932",60S ribosomal protein L20B (L18B),
1,0.46,YOR369C,S0005896,RPS12,XV,1028617,1028186,0,1-432,40S ribosomal protein S12,
1,0.45,YPL037C,S0005958,EGD1,XVI,481896,481423,0,1-474,,
1,0.56,YPL090C,S0006011,RPS6A,XVI,378390,377286,1,"1-6, 401-1105",Ribosomal protein S6A (S10A) (rp9) (YS4),
1,0.34,YPL142C,S0006063,,XVI,283002,282685,0,1-318,,
1,0.46,YPL143W,S0006064,RPL33A,XVI,282121,282969,1,"1-19, 545-849",Ribosomal protein L33A (L37A) (YL37) (rp47),
1,0.73,YPL283C,S0006204,,XVI,6007,280,1,"1-19, 168-5728",,
1,0.57,YPR044C,S0006248,,XVI,654872,654519,0,1-354,,
1,0.38,YPR102C,S0006306,RPL11A,XVI,731745,731221,0,1-525,Ribosomal protein L11A (L16A) (rp39A) (YL22),
1,0.45,YPR163C,S0006367,TIF3,XVI,869950,868640,0,1-1311,Translation initiation factor eIF-4B,
1,0.64,YPR204W,S0006408,,XVI,944598,947696,0,Jan-99,,
2,0.78,YAL007C,S0000005,,I,138348,137701,0,1-648,,
2,0.65,YAL023C,S0000021,PMT2,I,108555,106279,0,Jan-77,dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase,
2,0.49,YAL034W-A,S0000032,,I,79725,80594,0,1-870,,
2,0.54,YAR003W,S0000064,,I,155007,156287,0,1-1281,,
2,0.3,YAR007C,S0000065,RFA1,I,158621,156756,0,1-1866,"69 kDa subunit of the heterotrimeric RPA (RF-A) single-stranded DNA binding protein, binds URS1 and CAR1",
2,0.31,YAR008W,S0000066,SEN34,I,158967,159794,0,1-828,34kDa subunit of the tetrameric tRNA splicing endonuclease,
2,0.54,YBL010c,S0000106,,II,206907,206065,0,1-843,,
2,0.38,YBL035c,S0000131,POL12,II,153569,151452,0,18-Jan,B subunit of DNA polymerase alpha-primase complex,
2,0.5,YBL046w,S0000142,,II,132383,133708,0,1-1326,,
2,0.3,YBR070c,S0000274,,II,379889,379176,0,1-714,,
2,0.56,YBR071w,S0000275,,II,380366,381001,0,1-636,,
2,0.49,YBR073w,S0000277,RDH54,II,383065,385941,0,Jan-77,Putative helicase similar to RAD54,
2,0.61,YBR087w,S0000291,RFC5,II,423719,424783,0,1-1065,Subunit 5 of Replication Factor C\; homologous to human RFC 38 kDa subunit,
2,0.28,YBR088c,S0000292,pol30,II,425720,424944,0,1-777,"profilerating cell nuclear antigen (PCNA)\; accessory factor for DNA polymerase delta, mRNA increases in G1, peaks in S in mitosis, and increases prior to DNA synthesis in meiosis",
2,0.29,YBR089w,S0000293,,II,425137,425736,0,1-600,,
2,0.56,YBR275c,S0000479,RIF1,II,757061,751311,0,Jan-51,"RAP1-interacting factor, involved in establishment of repressed chromatin",
2,0.47,YCL022c,S0000527,,III,82043,81528,0,1-516,,
2,0.46,YCL024w,S0000529,,III,79119,81569,0,Jan-51,,
2,0.48,YCL060c,S0000565,,III,21362,20409,0,1-954,,
2,0.61,YCL061c,S0000566,,III,20409,19420,0,1-990,,
2,0.46,YCR065w,S0000661,HCM1,III,228032,229630,0,1-1599,Dosage-dependent suppressor of cmd1-1 mutation\; shows homology to fork head family of DNA-binding proteins,
2,0.22,YDL003W,S0002161,MCD1,IV,444724,446424,0,1-1701,,
2,0.65,YDL006W,S0002164,PTC1,IV,439950,440795,0,1-846,serine-threonine protein phosphatase,
2,0.51,YDL009c,S0002167,,IV,433289,432966,0,1-324,,
2,0.41,YDL010w,S0002168,,IV,432371,433066,0,1-696,,
2,0.54,YDL011c,S0002169,,IV,432672,432349,0,1-324,,
2,0.3,YDL018c,S0002176,,IV,423551,422874,0,1-678,,
2,0.63,YDL075W,S0002233,RPL31A,IV,322225,322987,1,"1-57, 479-763",Ribosomal protein L31A (L34A) (YL28),
2,0.54,YDL102W,S0002260,cdc2,IV,276871,280164,0,Jan-94,largest and catalytic subunit of DNA polymerase III (delta),
2,0.41,YDL103C,S0002261,QRI1,IV,276580,275147,0,1-1434,,
2,0.52,YDL105W,S0002263,QRI2,IV,272388,273596,0,1-1209,,
2,0.57,YDL127w,S0002285,PCL2,IV,234927,235766,0,1-840,G1 cyclin,
2,0.36,YDL156w,S0002315,,IV,174919,176487,0,1-1569,,
2,0.7,YDL157c,S0002316,,IV,174589,174233,0,1-357,,
2,0.53,YDL158c,S0002317,,IV,174175,173867,0,1-309,,
2,0.25,YDL164C,S0002323,cdc9,IV,167255,164988,0,Jan-68,DNA ligase,
2,0.36,YDL197C,S0002356,asf2,IV,106495,104918,0,1-1578,Anti-silencing protein that causes depression of silent loci when overexpressed,
2,0.5,YDL219w,S0002378,,IV,65243,65766,1,"1-65, 137-524",,
2,0.53,YDL227C,S0002386,HO,IV,48032,46272,0,1-1761,Homothallic switching endonuclease,
2,0.59,YDL243c,S0002402,,IV,18566,17577,0,1-990,,
2,0.41,YDR013w,S0002420,,IV,473198,473824,0,1-627,,
2,0.77,YDR014w,S0002421,,IV,474087,476030,0,Jan-44,,
2,0.27,YDR097C,S0002504,MSH6,IV,643875,640147,0,29-Jan,"Homolog of the human GTBP protein, forms a complex with Msh2p to repair both single-base and insertion-deletion mispairs, redundant with Msh3p in repair of insertion-deletion mispairs",
2,0.71,YDR263c,S0002671,DIN7,IV,995570,994278,0,1-1293,DNA-damage inducible gene,
2,0.65,YDR279W,S0002687,,IV,1019404,1020456,0,1-1053,,
2,0.56,YDR400W,S0002808,,IV,1270983,1272119,0,1-1137,,
2,0.68,YDR488c,S0002896,PAC11,IV,1430821,1429220,0,1-1602,,
2,0.61,YDR491C,S0002899,,IV,1435023,1434532,0,1-492,,
2,0.41,YDR503C,S0002911,LPP1,IV,1455914,1455090,0,1-825,Lipid phosphate phosphatase,
2,0.48,YDR507c,S0002915,GIN4,IV,1465834,1462406,0,29-Jan,putative serine\/threonine kinase,
2,0.76,YEL047c,S0000773,,V,66797,65385,0,1-1413,,
2,0.34,YER070w,S0000872,RNR1,V,298948,301614,0,Jan-67,ribonucleotide reductase,
2,0.44,YER095w,S0000897,rad51,V,349976,351178,0,1-1203,"RecA homolog\; Rad51p colocalizes to ~65 spots with Dmc1p prior to synapsis (independently of ZIP1 and DMC1), and interacts with Rad52p and Rad55p by two-hybrid analysis\; human Rad51p homolog interacts with Brca2 protein which has been implicated in caus",
2,0.53,YER111c,S0000913,SWI4,V,385872,382591,0,Jan-82,transcription factor,
2,0.72,YER147c,S0000949,,V,464838,462964,0,1-1875,,
2,0.54,YER152c,S0000954,,V,473984,472653,0,1-1332,,
2,0.41,YER170w,S0000972,adk2,V,525970,526647,0,1-678,Adenylate kinase (mitochondrial GTP:AMP phosphotransferase),
2,0.75,YER174c,S0000976,,V,539164,538430,0,1-735,,
2,0.62,YER190w,S0000992,,V,571476,576521,0,Jan-46,,
2,0.22,YFL008W,S0001886,smc1,VI,119424,123101,0,Jan-78,Coiled-coil protein involved in chromosome structure or segregation,
2,0.76,YFL060C,S0001834,SNO3,VI,10969,10301,0,1-669,"SNZ3 proximal ORF, stationary phase induced gene family",
2,0.3,YFR027W,S0001923,,VI,207439,208284,0,1-846,,
2,0.75,YFR041C,S0001937,,VI,238243,237356,0,1-888,,
2,0.51,YGL061C,S0003029,DUO1,VII,389709,388966,0,1-744,Death Upon Overexpression,
2,0.37,YGL075C,S0003043,,VII,368086,366923,0,1-1164,,
2,0.57,YGR042W,S0003274,,VII,579470,580285,0,1-816,,
2,0.39,YGR109C,S0003341,CLB6,VII,706495,705353,0,1-1143,B-type cyclin,
2,0.29,YGR151C,S0003383,,VII,794984,794649,0,1-336,,
2,0.25,YGR152C,S0003384,rsr1,VII,795486,794668,0,1-819,GTP-binding protein of the ras superfamily involved in bud site selection,
2,0.77,YGR153W,S0003385,,VII,796086,796739,0,1-654,,
2,0.44,YGR188C,S0003420,BUB1,VII,875103,872038,0,Jan-66,Serine\/threonine protein kinase required for cell cycle arrest in response to loss of microtubule function,
2,0.46,YGR189C,S0003421,,VII,878186,876663,0,1-1524,,
2,0.42,YGR221C,S0003453,,VII,938984,937116,0,1-1869,,
2,0.56,YGR238C,S0003470,KEL2,VII,968682,966034,0,Jan-49,"protein containing kelch repeats, similar to YHR158c and YPL263c",
2,0.49,YGR289C,S0003521,AGT1,VII,1075809,1073959,0,1-1851,alpha-glucoside transporter,
2,0.74,YHL036W,S0001028,MUP3,VIII,26239,27879,0,1-1641,very low affinity methionine permease,
2,0.63,YHR050w,S0001092,SMF2,VIII,207646,209295,0,1-1650,localized to mitochondrial membrane,
2,0.55,YHR110W,S0001152,,VIII,332284,332922,0,1-639,,
2,0.45,YHR153c,S0001196,SPO16,VIII,402682,402086,0,1-597,,
2,0.32,YHR154W,S0001197,ESC4,VIII,402966,406178,0,13-Jan,Establishes Silent omatin,
2,0.29,YIL026C,S0001288,IRR1,IX,307927,304475,0,Jan-53,Irregular,
2,0.5,YIL132C,S0001394,,IX,100501,99860,0,1-642,,
2,0.31,YIL140W,S0001402,SRO4,IX,85366,87837,0,Jan-72,localizes to the plasma membrane,
2,0.36,YJL018W,S0003555,,X,404322,404636,0,1-315,,
2,0.53,YJL019W,S0003556,,X,402589,404451,0,1-1863,,
2,0.43,YJL074C,S0003610,SMC3,X,302545,298853,0,Jan-93,,
2,0.66,YJL097W,S0003633,,X,245288,245941,0,1-654,,
2,0.27,YJL115W,S0003651,asf1,X,195986,196825,0,1-840,Anti-silencing protein that causes depression of silent loci when overexpressed,
2,0.59,YJL173C,S0003709,RFA3,X,96526,96158,0,1-369,subunit 3 of replication factor-A,
2,0.36,YJL181W,S0003717,,X,85658,87493,0,1-1836,,
2,0.34,YJL187C,S0003723,SWE1,X,79261,76802,0,Jan-60,protein kinase homolog,
2,0.65,YJL196C,S0003732,ELO1,X,68781,67849,0,1-933,"Elongation enzyme 1, required for the elongation of the saturated fatty acid tetradecanoic acid (14:0) to that of hexadecanoic acid (16:0)",
2,0.39,YJR006W,S0003766,,X,448889,450352,0,1-1464,,
2,0.28,YJR030C,S0003791,,X,485884,483647,0,Jan-38,,
2,0.51,YJR043C,S0003804,POL32,X,517201,516149,0,1-1053,third (55 kDa) subunit of DNA polymerase delta,
2,0.48,YJR116W,S0003877,,X,640514,641353,0,1-840,,
2,0.44,YJR155W,S0003916,,X,727094,727960,0,1-867,,
2,0.37,YKL042W,S0001525,SPC42,XI,358119,359210,0,1-1092,component of the spindle pole body,
2,0.29,YKL045W,S0001528,PRI2,XI,353137,354723,0,1-1587,p58 polypeptide of DNA primase,
2,0.64,YKL101W,S0001584,HSL1,XI,248566,253122,0,Jan-57,Putative protein kinase homologous to S. pombe cdr1\/nim1,
2,0.33,YKL108W,S0001591,,XI,234072,235433,0,1-1362,,
2,0.26,YKL113C,S0001596,RAD27,XI,225521,224373,0,1-1149,42 kDa 5' to 3' exonuclease required for Okazaki fragment processing,
2,0.57,YKL182W,S0001665,fas1,XI,100676,106831,0,Jan-56,beta subunit of fatty acid synthase,
2,0.57,YKL223W,S0001706,,XI,2390,2722,0,1-333,,
2,0.6,YKR012C,S0001720,,XI,463757,463380,0,1-378,,
2,0.34,YKR013W,S0001721,PRY2,XI,463600,464589,0,1-990,Similar to plant PR-1 class of pathogen related proteins,
2,0.66,YKR090W,S0001798,,XI,608584,610704,0,21-Jan,,
